一 P21'S01
乙 P21'S27
二 P21'S01'S01
十 P21'S01'S03
丁 P21'S01'S12
厂 P21'S01'S04
七 P21'S01'S24
卜 P21'S03'S06
人 P21'S04'S05
入 P21'S04'S05
八 P21'S04'S05
九 P21'S04'S27
几 P21'S04'S27
儿 P21'S04'S24
了 P21'S10'S12
力 P21'S20'S04
乃 P21'S30'S04
刀 P21'S20'S04
又 P21'S09'S05
三 P21'S01'S01'S01
于 P21'S01'S01'S12
干 P21'S01'S01'S03
亏 P21'S01'S01'S29
士 P21'S01'S03'S01
工 P21'S01'S03'S01
土 P21'S01'S03'S01
才 P21'S01'S12'S04
寸 P21'S01'S12'S06
下 P21'S01'S03'S06
大 P21'S01'S04'S05
丈 P21'S01'S04'S05
与 P21'S01'S29'S01
万 P21'S01'S20'S04
上 P21'S03'S01'S01
小 P21'S12'S04'S06
口 P21'S03'S08'S01
巾 P21'S03'S20'S03
山 P21'S03'S11'S03
千 P21'S04'S01'S03
乞 P12'S04'S01'S27
川 P21'S04'S03'S03
亿 P02'S04'S03'S27
个 P21'S04'S05'S03
勺 P38'S04'S20'S06
久 P21'S04'S09'S05
凡 P32'S04'S27'S06
及 P21'S04'S26'S05
夕 P21'S04'S09'S06
丸 P21'S04'S27'S06
么 P21'S04'S14'S06
广 P21'S06'S01'S04
亡 P21'S06'S01'S11
门 P21'S06'S03'S20
义 P21'S06'S04'S05
之 P21'S06'S09'S05
尸 P21'S08'S01'S04
弓 P21'S08'S01'S29
己 P21'S08'S01'S24
已 P21'S08'S01'S24
子 P21'S09'S12'S01
卫 P21'S20'S03'S01
也 P21'S20'S03'S24
女 P21'S15'S04'S01
飞 P21'S21'S04'S06
刃 P21'S20'S04'S06
习 P38'S20'S06'S02
叉 P21'S09'S05'S06
马 P21'S08'S29'S01
乡 P21'S14'S14'S04
丰 P21'S01'S01'S01'S03
王 P21'S01'S01'S03'S01
井 P21'S01'S01'S04'S03
开 P21'S01'S01'S04'S03
夫 P21'S01'S01'S04'S05
天 P21'S01'S01'S04'S05
无 P21'S01'S01'S04'S24
元 P21'S01'S01'S04'S24
专 P21'S01'S01'S23'S06
云 P21'S01'S01'S14'S06
