heng 横
ti 提
shu 竖
pie 撇
na 捺
dian 点
zhe 折
hengzheshu 横折竖
hengzhepie 横折撇
henggou 横勾
shuzheheng 竖折横
shugou 竖勾
shuzheti 竖折提
piezheheng 撇折横
piezhedian 撇折点
wanshugou 弯竖勾
nagou 捺勾
hengzheshuzheheng 横折竖折横
hengzheshuzheti 横折竖折提
hengzheshugou 横折竖勾
hengzhenagou 横折捺勾
shuzhehengzheshu 竖折横折竖
shuzhehengzhepie 竖折横折撇
shuwanhenggou 竖弯横勾
hengzheshuzhehengzheshu 横折竖折横折竖
hengzheshuzhehengzhepie 横折竖折横折撇
hengzheshuwanhenggou 横折竖弯横勾
hengzhepiezhewanshugou 横折撇折弯竖勾
shuzhehengzheshugou 竖折横折竖勾
hengzheshuzhehengzheshugou 横折竖折横折竖勾
duoheng 两横
